dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
external	IZRHKURJIQCXMT-UHFFFAOYSA-N	Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1	ok	Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1	IZRHKURJIQCXMT-UHFFFAOYSA-N	C19H21F3N2O2
external	IZVFFXVYBHFIHY-UHFFFAOYSA-N	CC(C)CCCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C	ok	CC(C)CCCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C	IZVFFXVYBHFIHY-UHFFFAOYSA-N	C27H46O
external	IZXJPGLOYYDHRM-UHFFFAOYSA-N	CCCc1ccc2ccccc2n1	ok	CCCc1ccc2ccccc2n1	IZXJPGLOYYDHRM-UHFFFAOYSA-N	C12H13N
external	IZYVWRVNTCGCKC-UHFFFAOYSA-N	COc1cc(C=CC(=O)OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)ccc1O	ok	COc1cc(C=CC(=O)OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)ccc1O	IZYVWRVNTCGCKC-UHFFFAOYSA-N	C43H48O24
external	JACPUZOKPSTMTK-UHFFFAOYSA-N	OCCCOc1cccc(CN2CCCCC2)c1	ok	OCCCOc1cccc(CN2CCCCC2)c1	JACPUZOKPSTMTK-UHFFFAOYSA-N	C15H23NO2
external	JAQGKXUEKGKTKX-UHFFFAOYSA-N	NC(Cc1ccc(O)cc1)C(O)=NC(Cc1ccc(O)cc1)C(=O)O	ok	NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O	JAQGKXUEKGKTKX-UHFFFAOYSA-N	C18H20N2O5
external	JAQUASYNZVUNQP-UHFFFAOYSA-N	CN1CCC23CCCCC2C1Cc1ccc(O)cc13	ok	CN1CCC23CCCCC2C1Cc1ccc(O)cc13	JAQUASYNZVUNQP-UHFFFAOYSA-N	C17H23NO
external	JAUOIFJMECXRGI-UHFFFAOYSA-N	Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	ok	Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	JAUOIFJMECXRGI-UHFFFAOYSA-N	C19H19ClN2
external	JAZBEHYOTPTENJ-UHFFFAOYSA-N	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	ok	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	JAZBEHYOTPTENJ-UHFFFAOYSA-N	C20H30O2
external	JAZJDNUIJLZFSZ-SOFGYWHQSA-N	CC(O)=NC(CS/C(F)=C(/OCF)C(F)F)C(=O)O	ok	CC(=O)NC(CSC(F)=C(OCF)C(F)F)C(=O)O	JAZJDNUIJLZFSZ-UHFFFAOYSA-N	C9H11F4NO4S
