query	panel	group	method	domain	candidates	positives	deterministic_RR	tie_averaged_RR	conditional_defined
c90d963455be26af8cd296e82a1d00c58d22ea10eff69fe11d20e7b3cda6b090	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	own	15	0	0.0	0.0	False
c90d963455be26af8cd296e82a1d00c58d22ea10eff69fe11d20e7b3cda6b090	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	own	4	0	0.0	0.0	False
c90d963455be26af8cd296e82a1d00c58d22ea10eff69fe11d20e7b3cda6b090	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	common	0	0	0.0	0.0	False
c90d963455be26af8cd296e82a1d00c58d22ea10eff69fe11d20e7b3cda6b090	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	common	0	0	0.0	0.0	False
cd7013ec8e57039d9b93cca81853d8344b42d983d2dba8e095e0e61c7e803cfb	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	own	1	0	0.0	0.0	False
cd7013ec8e57039d9b93cca81853d8344b42d983d2dba8e095e0e61c7e803cfb	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	own	1	0	0.0	0.0	False
cd7013ec8e57039d9b93cca81853d8344b42d983d2dba8e095e0e61c7e803cfb	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	mmseqs_top1	common	0	0	0.0	0.0	False
cd7013ec8e57039d9b93cca81853d8344b42d983d2dba8e095e0e61c7e803cfb	protein_cold:p1:cNone	0efb917a792fe9dfcba2d22e764f32ad73d1321b882eb9373d40a5d61750c597	esm_cosine_top1	common	0	0	0.0	0.0	False
14149b4f2b38a988ec3008545aae140e1dd88a87ced68657a72be71db392385b	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	mmseqs_top1	own	8	0	0.0	0.0	False
14149b4f2b38a988ec3008545aae140e1dd88a87ced68657a72be71db392385b	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	esm_cosine_top1	own	5	0	0.0	0.0	False
14149b4f2b38a988ec3008545aae140e1dd88a87ced68657a72be71db392385b	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	mmseqs_top1	common	0	0	0.0	0.0	False
14149b4f2b38a988ec3008545aae140e1dd88a87ced68657a72be71db392385b	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	esm_cosine_top1	common	0	0	0.0	0.0	False
14269a668e47805768f1348ff23615c5d03b336599133e2ca35d447338f677a4	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	mmseqs_top1	own	3	0	0.0	0.0	False
14269a668e47805768f1348ff23615c5d03b336599133e2ca35d447338f677a4	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	esm_cosine_top1	own	15	0	0.0	0.0	False
14269a668e47805768f1348ff23615c5d03b336599133e2ca35d447338f677a4	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	mmseqs_top1	common	0	0	0.0	0.0	False
14269a668e47805768f1348ff23615c5d03b336599133e2ca35d447338f677a4	protein_cold:p2:cNone	78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	esm_cosine_top1	common	0	0	0.0	0.0	False
160605d75962a592ceb6bcb0cea5bf339c3f9f707d4206bedc5efed11e839ef1	protein_cold:p2:cNone	d551cc29eea54e1c5e190c338947747867b27af42e091df6f887818dfafc9809	mmseqs_top1	own	2	0	0.0	0.0	False
